"State","County","City","Status"
"AK","design_resources","Anchorage","MISSING BOTH files"
"AK","design_resources","Bethel","MISSING BOTH files"
"AK","design_resources","Fairbanks","MISSING BOTH files"
"AK","design_resources","Juneau","MISSING BOTH files"
"AK","design_resources","Kenai_Peninsula","MISSING BOTH files"
"AK","design_resources","Ketchikan","MISSING BOTH files"
"AK","design_resources","Kodiak","MISSING BOTH files"
"AK","design_resources","MatSu_Valley","MISSING BOTH files"
"AK","design_resources","Nome","MISSING BOTH files"
"AK","design_resources","Sitka","MISSING BOTH files"
"AK","design_resources","Utqiagvik","MISSING BOTH files"
"AK","Petersburg_Borough","Petersburg_AK","MISSING BOTH files"
"AL","Baldwin","Robertsdale","MISSING BOTH files"
"AL","Etowah","Rainbow_City","MISSING BOTH files"
"AL","Jefferson","Irondale","MISSING BOTH files"
"AL","Marshall","Boaz","MISSING BOTH files"
"dc","design_resources","Adams_Morgan","MISSING BOTH files"
"dc","design_resources","Capitol_Hill","MISSING BOTH files"
"dc","design_resources","Dupont_Circle","MISSING BOTH files"
"dc","design_resources","Georgetown","MISSING BOTH files"
"dc","design_resources","Washington_DC","MISSING BOTH files"
"dc","District_of_Columbia","Washington_DC","MISSING BOTH files"
"FL","Calhoun","Blountstown","MISSING municipal_court.md"
"FL","Dixie","Cross_City","MISSING municipal_court.md"
"FL","Escambia","Cantonment","MISSING municipal_court.md"
"FL","Franklin","Apalachicola","MISSING municipal_court.md"
"FL","Gadsden","Quincy","MISSING municipal_court.md"
"FL","Gilchrist","Trenton","MISSING municipal_court.md"
"FL","Gulf","Port_St_Joe","MISSING municipal_court.md"
"FL","Hamilton","Jasper","MISSING municipal_court.md"
"FL","Holmes","Bonifay","MISSING municipal_court.md"
"FL","Jackson","Marianna","MISSING municipal_court.md"
"FL","Jefferson","Monticello","MISSING municipal_court.md"
"FL","Lee","Sanibel","MISSING municipal_court.md"
"FL","Leon","Woodville","MISSING municipal_court.md"
"FL","Levy","Chiefland","MISSING municipal_court.md"
"FL","Levy","Williston","MISSING municipal_court.md"
"FL","Liberty","Bristol","MISSING municipal_court.md"
"FL","Madison","Madison_City","MISSING municipal_court.md"
"FL","Manatee","Anna_Maria","MISSING municipal_court.md"
"FL","Manatee","Ellenton","MISSING municipal_court.md"
"FL","Marion","Belleview","MISSING municipal_court.md"
"FL","Marion","Dunnellon","MISSING municipal_court.md"
"FL","Nassau","Yulee","MISSING municipal_court.md"
"FL","Okaloosa","Wright","MISSING municipal_court.md"
"FL","Osceola","Poinciana","MISSING municipal_court.md"
"FL","Pasco","Hudson","MISSING municipal_court.md"
"FL","Santa_Rosa","Pace","MISSING municipal_court.md"
"FL","Sarasota","Englewood_South","MISSING municipal_court.md"
"FL","Sarasota","Siesta_Key","MISSING municipal_court.md"
"FL","St_Johns","Fruit_Cove","MISSING municipal_court.md"
"FL","St_Johns","Ponte_Vedra","MISSING municipal_court.md"
"FL","St_Lucie","Tradition","MISSING municipal_court.md"
"FL","Sumter","Lake_Panasoffkee","MISSING municipal_court.md"
"FL","Suwannee","Branford","MISSING municipal_court.md"
"FL","Suwannee","Live_Oak","MISSING municipal_court.md"
"FL","Taylor","Perry","MISSING municipal_court.md"
"FL","Wakulla","Crawfordville","MISSING municipal_court.md"
"FL","Walton","Miramar_Beach","MISSING municipal_court.md"
"FL","Washington","Chipley","MISSING municipal_court.md"
"IA","Dubuque","Dubuque_City","MISSING BOTH files"
"IA","Scott","Davenport","MISSING BOTH files"
"IL",".git","hooks","MISSING BOTH files"
"KY","design_resources","Berea","MISSING BOTH files"
"KY","design_resources","Bowling_Green","MISSING BOTH files"
"KY","design_resources","Covington","MISSING BOTH files"
"KY","design_resources","Lexington","MISSING BOTH files"
"KY","design_resources","Louisville","MISSING BOTH files"
"KY","design_resources","Paducah","MISSING BOTH files"
"LA","Bossier","Benton","MISSING municipal_court.md"
"LA","East_Baton_Rouge","Central","MISSING municipal_court.md"
"LA","Livingston","Denham_Springs","MISSING municipal_court.md"
"LA","Livingston","Walker","MISSING municipal_court.md"
"LA","Rapides","Pineville","MISSING municipal_court.md"
"LA","St_Tammany","Mandeville","MISSING municipal_court.md"
"LA","Washington","Franklinton","MISSING municipal_court.md"
"MA","Bristol","Raynham","MISSING municipal_court.md"
"MA","Bristol","Swansea","MISSING municipal_court.md"
"MA","Essex","Saugus","MISSING municipal_court.md"
