====================================================================================================
MODULE                                        STATUS       IMP   KEY FUNCTIONS/CLASSES
====================================================================================================
_agent_helpers.py                             CONNECTED     25   llm, smart, chronicle
a2a_client.py                                 CONNECTED      3   search_index, get_categories, get_urls_for_category, A2
accessibility.py                              CONNECTED    122   speak, listen, detect_language
accessibility_eye_tracker.py                  CONNECTED     22   is_available, get_input, calibrate
agent_router.py                               CONNECTED     19   AgentRouter
base_agent.py                                 CONNECTED     34   BaseAgent
capabilities.py                               CONNECTED     14   resolve_capability, get_capable_agent
chronicle_helper.py                           CONNECTED     36   search_chronicle, get_chronicle_stats
compactor.py                                  CONNECTED     19   get_compactor, CompressionResult, ContextCompactor
config.py                                     CONNECTED     19   get_config, ConfigSource, LLMConfig
consensus_engine.py                           CONNECTED     20   _load_consensus, _save_consensus, _fact_hash
constitutional_command.py                     CONNECTED     20   constitutional_command
court_rules_schema.py                         CONNECTED     20   completeness_score, _grade, CourtRules
decision_ledger.py                            CONNECTED     22   get_ledger, DecisionLedger
decomposer.py                                 CONNECTED     19   TaskType, SubTask
error_handler.py                              CONNECTED     21   retryable, get_circuit_breaker, get_dead_letter_queue, 
event_bus.py                                  CONNECTED      2   push_event, get_event, pending_events, EventSource, Eve
execution_policy.py                           CONNECTED     21   ApprovalLevel, ExecutionPolicy
guarded_executor.py                           CONNECTED     19   GuardedExecutor
input_handler.py                              CONNECTED     19   find_file, open_file, detect_type, InputHandler
jurisdiction_validator.py                     CONNECTED     20   validate_state, sanitize_component, safe_path_join
lifecycle.py                                  CONNECTED     21   agent_cleanup, wrap_with_lifecycle
llm\config.py                                 CONNECTED     19   load_config
llm\registry.py                               CONNECTED     19   ModelRegistry
llm\router.py                                 CONNECTED     19   route, get_provider_list
locale.py                                     CONNECTED     24   set_language, get_language, get_language_name
log_manager.py                                CONNECTED     19   get_logger, debug, info, LogLevel, StructuredLogger
memory_guard.py                               CONNECTED     40   should_persist, sanitize_memory_write
